,,,,,,,,,,,,,,,,,
N°,Nombre del lugar de los arboles,Coordenadas geográficas,,Coordenadas UTM,,Nombre común,Nombre científico,Arbol,Palmera,Arbusto,Medidas,,,,Actual,Foto,LINK
,,Latitud ,Longitud,Norte,Este,,,,,,altura (m),altura del fuste,DAP(cm),Radio (m),Zunchado,,
1,Biblioteca Central,"-12,069386","-77,080382",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c1.jpeg,https://drive.google.com/file/d/1GwKd6-MoGXkSa1H_wHn6t52-FCRVRu8j/view?usp=sharing
2,Biblioteca Central,"-12,069403","-77,080387",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c2.jpeg,https://drive.google.com/file/d/1ayeIxtnyIIfzVlYeaeUFr2JpyJmrd_H3/view?usp=sharing
3,Biblioteca Central,"-12,069413","-7,708039",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c3.jpeg,https://drive.google.com/file/d/1bzScIXrh8x9Ji-tddOaGnKmAiyb3r8vH/view?usp=sharing
4,Biblioteca Central,"-12,069403","-77,080364",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c4.jpeg,https://drive.google.com/file/d/1qds6lw89gTQBeO8OtI4FyngdBmqlJMhx/view?usp=sharing
5,Biblioteca Central,"-12,069385","-77,080343",,,Cafeto,Coffea arabica,,,1,,,,,No,c5.jpeg,https://drive.google.com/file/d/1Rd4PTbLtPSgYB57VziBRoKowT4sOV49F/view?usp=sharing
6,Biblioteca Central,"-12,069380","-77,080339",,,Cafeto,Coffea arabica,,,1,,,,,No,c6.jpeg,https://drive.google.com/file/d/145wB7XBqZ-C4JrDgURsDXBJknea59AjK/view?usp=sharing
7,Biblioteca Central,"-12,069325","-77,080218",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c7.jpeg,https://drive.google.com/file/d/1H4vj2UHZQ4fc0tEjyrPVC-FtP6Ub9R1D/view?usp=sharing
8,Biblioteca Central,"-12,069320","-77,080211",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c8.jpeg,https://drive.google.com/file/d/1Ze-GsjWg6-QMgke3ltr7qsonFIsc-vNV/view?usp=sharing
9,Biblioteca Central,"-12,069316","-77,080205",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c9.jpeg,https://drive.google.com/file/d/1EwJeLHEVNgbeLgnVESeozuGXbKZbe-Wl/view?usp=sharing
10,Biblioteca Central,"-12,069315","-77,080181",,,Cafeto,Coffea arabica,,,1,,,,,Sí,c10.jpeg,https://drive.google.com/file/d/1mUomlgGpRn0poTgE3GkWwIV-mIFyxzCL/view?usp=sharing
