,,,,,,,,,,,,,,,,,
N°,Nombre del lugar de los arboles,Coordenadas geográficas,,Coordenadas UTM,,Nombre común,Nombre científico,Arbol,Palmera,Arbusto,Medidas,,,,Actual,Foto,LINK
,,Latitud ,Longitud,Norte,Este,,,,,,altura (m),altura del fuste,DAP(cm),Radio (m),Zunchado,,
1,Tontodromo -educación,"-12,0672190","-77,0796430","8665154,274","273622,488",Palmera Real,Roystonea regia,,1,,"7,50",6,150,"3,4",Sí,p01.jpeg,https://drive.google.com/file/d/1O5Ic_huh_GEoSpaGY5yxmKf7zgTmzZEp/view?usp=sharing
2,Tontodromo -educación,"-12,0672260","-77,0796380","8665153,515","273623,060",Palmera Real,Roystonea regia,,1,,"7,00","5,5",143,"3,4",Sí,p02.jpeg,https://drive.google.com/file/d/1004vvW05fBFivxj5e_OxJ-92IBuXTRf8/view?usp=sharing
3,Tontodromo -educación,"-12,0672820","-77,0796210","8665147,311","273624,980",Palmera Real,Roystonea regia,,1,,"7,50",6,192,"3,5",Sí,p03.jpeg,https://drive.google.com/file/d/1Ph5xsyRCy-3rh6Qn0zYeJDvDBEmdSEx1/view?usp=sharing
4,Tontodromo -educación,"-12,0674170","-77,0796470","8665132,275","273622,230",Palmera Real,Roystonea regia,,1,,"7,00","5,5",207,"3,4",Sí,p04.jpeg,https://drive.google.com/file/d/1pBN_-ctMgKoJMmz3zseQBYk51ZTnp31E/view?usp=sharing
5,Tontodromo -educación,"-12,0674610","-77,0796750","8665127,417","273619,294",Palmera Real,Roystonea regia,,1,,"7,00","5,5",122,"3,3",No,p05.jpeg,https://drive.google.com/file/d/13U7BNv9JC7Rr_BOz8JVAa8MAt_gcLuhT/view?usp=sharing
6,Tontodromo -educación,"-12,0674810","-77,0796710","8665125,185","273619,714",Palmera Real,Roystonea regia,,1,,"6,80","5,3",145,"2,8",No,p06.jpeg,https://drive.google.com/file/d/1g-z_YyQITjdLrZ5f_WQ_72_xMkzSfr5N/view?usp=sharing
7,Tontodromo -educación,"-12,0675320","-77,0796480","8665119,627","273622,217",Palmera Real,Roystonea regia,,1,,"6,70","5,3",170,"3,4",Sí,p07.jpeg,https://drive.google.com/file/d/1FL4ObZxHhvavv5kNcfXy9lshndKdo8Oz/view?usp=sharing
8,Tontodromo -educación,"-12,0675780","-77,0796480","8665114,549","273622,266",Palmera Real,Roystonea regia,,1,,"6,60",5,160,"3,4",Sí,p08.jpeg,https://drive.google.com/file/d/17KEPLqG-ViKB8uh0vlUycSkGZMvaHRuJ/view?usp=sharing
9,Tontodromo -educación,"-12,0677120","-77,0796490","8665099,678","273622,347",Palmera Real,Roystonea regia,,1,,"6,50",5,157,"3,3",Sí,p09.jpeg,https://drive.google.com/file/d/1rqEHlZkV9_w2NoV8EOCMzILdCYYJnsdL/view?usp=sharing
10,Tontodromo -educación,"-12,0678160","-77,0796070","8665088,205","273626,975",Palmera Real,Roystonea regia,,1,,"6,40",5,133,"2,8",Sí,p10.jpeg,https://drive.google.com/file/d/1t77YS4arbQhav63J70YJqfS4of8cXZee/view?usp=sharing
11,Tontodromo -educación,"-12,0677740","-77,0796180","8665092,887","273625,687",Palmera Real,Roystonea regia,,1,,"6,30","4,9",167,"3,7",No,p11.jpeg,https://drive.google.com/file/d/1g9KRKxpASsrFRltXa9u4t9p9DRwoYFSe/view?usp=sharing
12,Tontodromo - hallazgos,"-1,2067880","-77,0796330","8665081,136","273624,219",Palmera Real,Roystonea regia,,1,,"6,20","4,7",132,"3,7",No,p12.jpeg,https://drive.google.com/file/d/1EAytUUhNrlru200bt6D0I4gHG0fBCVrl/view?usp=sharing
13,Tontodromo - hallazgos,"-12,0679590","-77,0796420","8665072,332","273623,295",Palmera Real,Roystonea regia,,1,,"6,50",5,135,"3,5",Sí,p13.jpeg,https://drive.google.com/file/d/1hJq2v2G8yQh56NH6MUL5JsxMq793XqFr/view?usp=sharing
