lugar,latitud,longitud
Apoyo Rural,"-12,0730130","-77,0813120"
área Deportes,"-12,0662328","-77,0796945"
Arqueología,"-12,0676740","-77,0811480"
Arquitectura,"-12,0718431","-77,0811480"
Arte Antiguo,"-12,0703639","-77,0796673"
Arte Nuevo,"-12,0670844","-77,0784420"
Arte y Diseño,"-12,0670618","-77,0782991"
Azotea EEGGLL,"-12,0674273","-77,0801637"
Cactario,"-12,0722711","-77,0785480"
CCSS,"-12,0711009","-77,0801945"
Centenario,"-12,0709364","-77,0803449"
CEPREPUC,"-12,0722793","-77,0785290"
CETAM,"-12,0729937","-77,0826800"
Ciencias contables,"-12,0705084","-77,0786463"
Comedor Central,"-12,0707370","-77,0813393"
Comedor de Letras,"-12,0684956","-77,0800987"
Derecho,"-12,0698512","-77,0813063"
Dinthilac,"-12,0693309","-77,0794498"
DIODO,"-12,0729491","-77,0816092"
Educación,"-12,0674784","-77,0795069"
EEGGLL (Estudios generales Letras),"-12,0672189","-77,0800697"
Estacionamiento,"-12,0705889","-77,0821331"
Estudios Generales Ciencias,"-12,0707286","-77,0797269"
Fares,"-12,0653506","-77,0783654"
Física,"-12,0714684","-77,0801466"
Gelarti,"-12,0714834","-77,0797846"
Huaca,"-12,0671659","-77,0782121"
Industrial,"-12,0728709","-77,0822283"
ingenieria,"-12,0712190","-77,0814870"
Ing CIVIL,"-12,0715735","-77,0820326"
INRAS,"-12,0655837","-77,0816835"
Jardin Central,"-12,0691387","-77,0793834"
Jardin entrada principal,"-12,0693851","-77,0784047"
Jardin Lateral McGregor,"-12,0683587","-77,0783083"
Letras y Ciencias Humanas,"-12,0696974","-77,0811887"
Mac Gregor,"-12,0685197","-77,0790948"
Matemáticas,"-12,0709428","-77,0813081"
Minas,"-12,0720051","-77,0817079"
OCAI,"-12,0682890","-77,0780280"
Pabellón Z,"-12,0691185","-77,0809968"
playa estacionamiento studio TV,"-12,0682482","-77,0813595"
Polideportivo,"-12,0669996","-77,0800762"
Psicología,"-12,0681587","-77,0807740"
puerta principal.,"-12,0688978","-77,0782829"
Puerta Rivaguero,"-12,0695454","-77,0818514"
Química,"-12,0719197","-77,0796345"
Rivaguero,"-12,0716139","-77,0826223"
Sala cuna,"-12,0678723","-77,0787791"
Servicio médico,"-12,0699836","-77,0795169"
Servicio Médico,"-12,0699836","-77,0795169"
Tinkuy,"-12,0681681","-77,0794690"
Cedares,"-12,0689090","-77,0810940"
Biblioteca Central,"-12,0691830","-77,0802010"
CIA,"-12,0721300","-77,0801900"
Biblioteca de Teología,"-12,0694300","-77,0805700"
Juan valdez,"-12,0686620","-77,0794960"
hallazgos,"-12,0678800","-77,0796330"
Estudio tv2,"-12,0686960","-77,0813010"
Mecánica,"-12,0721529","-77,0808371"
DAF,"-12,0677600","-77,0781630"
Bosque Seco,"-12,0679872","-77,0787747"
Punto de Acopio,"-12,0735600","-77,0801600"
Gastronomía ,"-12,0682053","-77,0784413"
Pista de Salud,"-12,0663274","-77,0781324"
Humanidades,"-12,0679930","-77,0797489"
Huaca 64,"-12,0671320","-77,0782830"
Bosque húmedo,"-12,0734000","-77,0805100"
CAPU,"-12,0695500","-77,0801900"
Vivero,"-12,0672500","-77,0789900"
Edificio Administrativo,"-12,0678200","-77,0784600"
Laboratorios,"-12,0726000","-77,0802400"
DAES,"-12,0696300","-77,0796100"
Aulario,"-12,0726500","-77,0795800"
Becas,"-12,0697600","-77,0795900"
El puesto,"-12,0715200","-77,0793200"
Universitaria,,
