Clase,Estado,Fecha de solicitud,fecha_atención,Mes,lugar,latitud,longitud,Actividad,comentario,Columna 11,Foto,Responsable,Detalle
Propagación y plantación,,,30/03/2026,marzo,,"-12,0715","-77,0813",,Poda de ficus en Estructuras,,https://upload.wikimedia.org/wikipedia/commons/e/eb/Ashikaga_Flower_Park_Wisteria_2012.jpg,,
Propagación y plantación,,,30/03/2026,marzo,FARES,"-12,0646","-77,0786",, riego nocturno,,,,
Mejoramiento de Jardin de OCAI,,,28/03/2026,marzo,OCAI,"-12,0683","-77,0780",,Desmalezado,,https://drive.google.com/file/d/1CowPR8ah_DquYFO776CAXJSQTtYEte-Y,,
Mantenimiento de Jardin de Estacionamiento,,,27/03/2026,marzo,Estacionamiento,"-12,0693","-77,0816",,Deshierbo  jardineles Playa estacionamiento ciencias,,https://drive.google.com/file/d/1hMA2vm5YLFv1oTYdtL-WfhdwPlmOhl5N,,
Mantenimiento de Jardin de arte Antiguo,,,27/03/2026,marzo,arte Antiguo,"-12,0703","-77,0789",,Poda de lantana arbol alamos en artes antiguo,,https://drive.google.com/file/d/1aQisFhrXJFiTJw-C6FtY3ZeXN4BgB_T-,,
Mantenimiento de Jardin de arte Nuevo,,,27/03/2026,marzo,arte Nuevo,"-12,0668","-77,0796",,Poda de molles,,https://drive.google.com/file/d/1s5a226i6X8HoKVwWg79AbKet-I-uknzn,,
Mejoramiento de Jardin de ingenieria,,,26/03/2026,marzo,ingenieria,"-12,0712","-77,0815",,Sembrado de durantas y saguinarias ingenieria,,https://drive.google.com/file/d/1b9sgB1jY0ekyDSi4WUDPpuvcOn86JEea,,
Mnatenimiento de Jardin de ING CIVIL,,,26/03/2026,marzo,ING CIVIL,"-12,0717","-77,0817",,Canteo y poda en Estructuras,,https://drive.google.com/file/d/1sysAU2LrSWGO3JmM54PekgnASGxQVScc,,
Mantenimiento de Jardin de ING CIVIL,,,25/03/2026,marzo,ING CIVIL,"-12,0700","-77,0809",,Canteo en Estructuras,,https://drive.google.com/file/d/1izm3nTQLjCLfwZWNIEx2Rwm-c7V89oij/view?usp=drive_link,,
Mejoramiento de Jardin de Derecho,,,24/03/2026,marzo,Derecho,"-12,0689","-77,0789",,Siembra de plantas en jardinera de Derecho,,https://drive.google.com/file/d/1nREOMoy0Kukx3trVRhKd0BQ6EzuSvzp8/view?usp=drive_link,,
