,,,,,,,ver lista de especies ,,,ver matriz de incidencia,,,,,,,,
ID,ID Incidencia,Tipo 1,reportado por ,Fecha de reporte,Fecha de ejecución,Personal a cargo,Ubicación,Unidad de medida,Cantidad pedida ,Cantidad ejecutada,Tipo de actividad,Tipo de vegetación,Nombre común,Nombre Científico,Foto,comentario adicional,Prioridad,link de registro
PO-1,OSG-0478,Hallazgo/ incidencia,Supervisión,6/07/2026,8/07/2026,responsable,Mac Gregor,und,1,1,Poda de formación,Árbol,Laurel,Laurus nobilis.,https://drive.google.com/file/d/1AdXvy9_CDwuE0QhsIgMMpRPvucAARtN5/view?usp=sharing,,baja,Ficha_Tecnica_Poda_PO00001.docx
PO-2,OSG-0489,Hallazgo/ incidencia,Supervisión,7/07/2026,7/07/2026,responsable,Educación,und,1,1,Poda de despeje/reducción,Árbol,Escobillon Rojo,Callistemon viminalis,https://drive.google.com/file/d/1-QEt0nDtMNwWtyu8f7_NfRrDZGLOXXEh/view?usp=sharing,,media,Ficha_Tecnica_Poda_PO00002.docx
PO-3,OSG-0492,Hallazgo/ incidencia,Supervisión,8/07/2026,8/07/2026,responsable,Sala cuna,und,1,1,Poda de despeje/reducción,Árbol,Eucalipto plateado ,Eucalyptus cinerea,https://drive.google.com/file/d/1KKkfnzV17QAWNaosdRQMvxwFxk4DRFgY/view?usp=sharing,,alta,Ficha_Tecnica_Poda_PO00003.docx
PO-4,OSG-0495,Hallazgo/ incidencia,Supervisión,8/07/2026,16/07/2026,responsable,Gelarti,und,1,1,Poda de despeje/reducción,Palmera,Palmera Canaria ,Phoenix canariensis,https://drive.google.com/file/d/1Dii3EY-R-HzPLJ6AxBtm6Fy2_Y8gq7fk/view?usp=sharing,,alta,Ficha_Tecnica_Poda_PO00004.docx
PO-5,OSG-0496,Hallazgo/ incidencia,Supervisión,8/07/2026,8/07/2026,responsable,Química,und,2,2,Poda de despeje/reducción,Árbol,Ponciana,Delonix regia,https://drive.google.com/file/d/1VhxUNU-gJFDMW-2vjLUwbPmClj8OBsS7/view?usp=sharing,,media,Ficha_Tecnica_Poda_PO00005.docx
PO-6,OSG-0497,Hallazgo/ incidencia,Supervisión,8/07/2026,8/07/2026,responsable,Química,und,1,1,Poda de despeje/reducción,Árbol,Molle Serrano,Schinus molle,https://drive.google.com/file/d/1V8shW4x-uySXdQNvU3JHTacN6nBC2NHm/view?usp=sharing,jardín interno ,media,Ficha_Tecnica_Poda_PO00006.docx
PO-7,aun no tiene codigo,Hallazgo/ incidencia,Unidad,8/07/2026,18/07/2026,responsable,Apoyo Rural,und,2,2,Poda de despeje/reducción,Trepadora,Buganvilla,Bougainvillea glabra,https://drive.google.com/file/d/1KMYzAgbTE3ezzwWKSBQPWg7jxV7JM6em/view?usp=sharing,se solicita poda de una Bungavilla a tercero por dificl acceso,alta,Ficha_Tecnica_Poda_PO00007.docx
PO-8,NO APLICA,Mantenimiento,Ningun reporte,11/07/2026,11/07/2026,responsable,OCAI,m,70,70,Poda de despeje/reducción,Árbol,Ficus benjamina,Ficus benjamina L.,https://drive.google.com/file/d/1FQyNtQ78IdwBDi97YSF367pxPNMGmmaJ/view?usp=sharing,parte externa,alta,Ficha_Tecnica_Poda_PO00008.docx
PO-9,OSG-0509,Hallazgo/ incidencia,Supervisión,13/07/2026,14/07/2026,responsable,Psicología,und,2,1,Poda de despeje/reducción,Palmera,Palmera de abanico mexicana,Washingtonia robusta,https://drive.google.com/file/d/1FJIT8NervqnDJ3ZTytEhndYplXTFZ9Wf/view?usp=sharing,,baja,Ficha_Tecnica_Poda_PO00009.docx
PO-10,OSG-0511,Hallazgo/ incidencia,Supervisión,13/07/2026,14/07/2026,responsable,Cedares,und,1,1,Poda de despeje/reducción,Árbol,Jacarandá,Jacaranda mimosifolia.,https://drive.google.com/file/d/1enNKjWmPKqhQjt1Pe0RwjBbHOXce6IUz/view?usp=drive_link,está al frente de  la puerta de cedares ,alta,Ficha_Tecnica_Poda_PO00010.docx
PO-11,OSG-0511,Hallazgo/ incidencia,Supervisión,13/07/2026,14/07/2026,responsable,Cedares,und,1,1,Poda de despeje/reducción,Árbol,Jacarandá,Jacaranda mimosifolia.,https://drive.google.com/file/d/1_N7bKJuJe87sfSZlXwYEzx9XfSEDhvVM/view?usp=sharing, esta encima de la palmera enana,media,Ficha_Tecnica_Poda_PO00011.docx
PO-12,OSG-0511,Hallazgo/ incidencia,Supervisión,13/07/2026,14/07/2026,responsable,Cedares,und,1,1,Poda de despeje/reducción,Palmera,Palmera de abanico mexicana,Washingtonia robusta,https://drive.google.com/file/d/1_N7bKJuJe87sfSZlXwYEzx9XfSEDhvVM/view?usp=sharing,,media,Ficha_Tecnica_Poda_PO00012.docx
PO-13,OSG-0510,Hallazgo/ incidencia,Supervisión,13/07/2026,13/07/2026,responsable,Biblioteca de Teología,und,1,1,Poda de despeje/reducción,Árbol,Molle Serrano,Schinus molle,https://drive.google.com/file/d/11c-PO1Sl7BREeLn1GjZS6TR_f9KjaZS2/view?usp=sharing,,media,Ficha_Tecnica_Poda_PO00013.docx
PO-14,OSG-0515,Hallazgo/ incidencia,Supervisión,13/07/2026,3/08/2026,responsable,CIA,und,1,1,Poda de despeje/reducción,Árbol,Molle Serrano,Schinus molle,https://drive.google.com/file/d/1TzjkZfjvHQY6T1kIWO4gX_bMUUXKVq_P/view?usp=sharing,,media,
PO-15,NO APLICA,Mantenimiento,Ningun reporte,13/07/2026,13/07/2026,responsable,Minas,und,1,1,Poda de despeje/reducción,Árbol,Pacae,Inga feuilleei,https://drive.google.com/file/d/1pxtlTtAgYnzl1c4RYX_vIrnrQHANyGLs/view?usp=sharing,,media,
PO-16,OSG-0527,Hallazgo/ incidencia,Supervisión,15/07/2026,15/08/2026,responsable,Ciencias contables,und,1,1,Poda de despeje/reducción,Palmera,Palma de coco,Cocos nucifera,https://drive.google.com/file/d/1ZlAW0twCavnaggUuLwbr6syxKLMqKEqB/view?usp=sharing,,media,
PO-17,NO APLICA,Mantenimiento,Ningun reporte,16/07/2026,16/07/2026,responsable,Bosque Seco,und,5,5,Poda de despeje/reducción,Árbol, Guayacán amarillo,Handroanthus chrysanthus,https://drive.google.com/file/d/14O0rzsOqkgf-Lec__Gzbuf3t7f_PBXms/view?usp=drive_link,,baja,
PO-18,NO APLICA,Mantenimiento,Ningun reporte,22/07/2026,22/07/2026,responsable,Apoyo Rural,und,1,1,Poda de mantenimiento,Árbol,Laurel,Laurus nobilis.,,,baja,
PO-19,NO APLICA,Mantenimiento,Ningun reporte,30/07/2026,30/07/2026,responsable,Arte Nuevo,und,,,Poda de despeje/reducción,Árbol,Pacae,Inga feuilleei,,,alta,
PO-20,NO APLICA,Mantenimiento,Ningun reporte,1/08/2026,1/08/2026,responsable,OCAI,m2,1,1,Poda de despeje/reducción,Cubresuelo,Santolina,Chamaecyparissus,,parte interna,media,
PO-21,NO APLICA,Mantenimiento,Ningun reporte,1/08/2026,1/08/2026,responsable,,m2,1,1,Poda de despeje/reducción,Arbusto,Malvavisco,Malvaviscus arboreus,,,media,
PO-22,OSG-0602,Hallazgo/ incidencia,Ningun reporte,18/08/2026,22/08/2026,responsable,CIA,und,,1,Poda de despeje/reducción,Arbusto,Duranta,Duranta erecta,,,media,
PO-23,OSG-0616,Hallazgo/ incidencia,Ningun reporte,24/08/2026,26/08/2026,responsable,Gelarti,,1,1,Poda de despeje/reducción,Palmera,Palmera de abanico china,Livistona chinensis,https://drive.google.com/file/d/1OlQO8KYvqY2q1j1Dr_Xw_39z7csTPs5K/view?usp=drive_link,,media,
PO-24,OSG-0617,Mantenimiento,Ningun reporte,24/08/2026,26/08/2026,responsable,Estudios Generales Ciencias,,1,1,Poda de despeje/reducción,Árbol,Geranio Aralia,(Polyscias guilfoylei,https://drive.google.com/file/d/1F6KWBd2H5sH-nHVAr7ScMEqk8OQQE5Q7/view?usp=drive_link,,alta,
PO-25,OSG-0615,,,24/08/2026,,responsable,,,,,,,,,,,,
