location/lat,location/lng,phone,phoneUnformatted,placeId,searchPageUrl,searchString,title,url,website,image
"-12,0675311","-77,0799653",,,ChIJiT9_z2rJBZERn2ow-uMSTW0,"https://www.google.com/maps/search/Estudios%20Generales%20Ciencias%20PUCP/@-12.07904975,-77.08311831949635,17z?hl=es-419",Estudios Generales Ciencias PUCP,Estudios Generales Letras,https://www.google.com/maps/search/?api=1&query=Estudios%20Generales%20Letras&query_place_id=ChIJiT9_z2rJBZERn2ow-uMSTW0,,
"-12,0716464","-77,0803517",,,ChIJi8O7GgDJBZER6hqUAGO7r0Q,"https://www.google.com/maps/search/Facultad%20PUCP/@-12.070646730937636,-77.10030608050363,17z?hl=es-419",Facultad PUCP,Facultad de Física PUCP,https://www.google.com/maps/search/?api=1&query=Facultad%20de%20F%C3%ADsica%20PUCP&query_place_id=ChIJi8O7GgDJBZER6hqUAGO7r0Q,,
"-12,0691038","-77,0802206",+51 1 6262000,+5116262000,ChIJvQZ-OmvJBZERUlVY4b1kM9c,"https://www.google.com/maps/search/Biblioteca%20PUCP/@-12.070646730937636,-77.10030608050363,17z?hl=es-419",Biblioteca PUCP,Biblioteca Central PUCP,https://www.google.com/maps/search/?api=1&query=Biblioteca%20Central%20PUCP&query_place_id=ChIJvQZ-OmvJBZERUlVY4b1kM9c,,
"-12,0695084","-77,0808131",,,ChIJwRdVWoPJBZERLpTto2jJ3aM,"https://www.google.com/maps/search/Facultad%20PUCP/@-12.070646730937636,-77.10030608050363,17z?hl=es-419",Facultad PUCP,Facultad de Gestión y Alta Dirección - PUCP,https://www.google.com/maps/search/?api=1&query=Facultad%20de%20Gesti%C3%B3n%20y%20Alta%20Direcci%C3%B3n%20-%20PUCP&query_place_id=ChIJwRdVWoPJBZERLpTto2jJ3aM,,
"-12,0698875","-77,0806746",+51 1 6262000,+5116262000,ChIJq131P2vJBZERKWfAcow-mLA,"https://www.google.com/maps/search/Facultad%20PUCP/@-12.070646730937636,-77.10030608050363,17z?hl=es-419",Facultad PUCP,Facultad de Derecho de la Pontificia Universidad Católica del Perú,https://www.google.com/maps/search/?api=1&query=Facultad%20de%20Derecho%20de%20la%20Pontificia%20Universidad%20Cat%C3%B3lica%20del%20Per%C3%BA&query_place_id=ChIJq131P2vJBZERKWfAcow-mLA,http://facultad.pucp.edu.pe/derecho/,
"-12,0728901","-77,0827753",+51 1 6262000 Anexo 4667,+5116262000,ChIJa50OXGzJBZERk5y-EDeRA2Q,"https://www.google.com/maps/search/PUCP/@-12.070646730937636,-77.10030608050363,17z?hl=es-419",PUCP,PABELLÓN K (Sec. Mecatrónica PUCP),https://www.google.com/maps/search/?api=1&query=PABELL%C3%93N%20K%20(Sec.%20Mecatr%C3%B3nica%20PUCP)&query_place_id=ChIJa50OXGzJBZERk5y-EDeRA2Q,http://blog.pucp.edu.pe/blog/portalmecatronica/,
"-12,066587","-77,0801604",+51 1 6262000 Anexo 3899,+5116262000,ChIJub5Ut2rJBZERuX6YH7342M8,"https://www.google.com/maps/search/PUCP/@-12.070646730937636,-77.10030608050363,17z?hl=es-419",PUCP,Coliseo Polideportivo - PUCP,https://www.google.com/maps/search/?api=1&query=Coliseo%20Polideportivo%20-%20PUCP&query_place_id=ChIJub5Ut2rJBZERuX6YH7342M8,,
"-12,0706532","-77,0815877",+51 1 6262000 Anexo 2345,+5116262000,ChIJ-WG7SgfJBZERqq7FZAA01EE,"https://www.google.com/maps/search/PUCP/@-12.070646730937636,-77.10030608050363,17z?hl=es-419",PUCP,"Facultad de Gastronomía, Hotelería y Turismo PUCP",https://www.google.com/maps/search/?api=1&query=Facultad%20de%20Gastronom%C3%ADa%2C%20Hoteler%C3%ADa%20y%20Turismo%20PUCP&query_place_id=ChIJ-WG7SgfJBZERqq7FZAA01EE,https://facultad.pucp.edu.pe/gastronomia-hoteleria-turismo/,
"-12,0681495","-77,0805411",+51 1 6262000,+5116262000,ChIJV4PM2GrJBZER1KDdjFA8RMo,"https://www.google.com/maps/search/Facultad%20PUCP/@-12.070646730937636,-77.10030608050363,17z?hl=es-419",Facultad PUCP,Facultad de Psicología PUCP,https://www.google.com/maps/search/?api=1&query=Facultad%20de%20Psicolog%C3%ADa%20PUCP&query_place_id=ChIJV4PM2GrJBZER1KDdjFA8RMo,http://facultad.pucp.edu.pe/psicologia/,
"-12,0764802","-77,0809612",+51 1 6262000,+5116262000,ChIJPYWrj67JBZERDOfVb-bBoy8,"https://www.google.com/maps/search/PUCP/@-12.070646730937636,-77.10030608050363,17z?hl=es-419",PUCP,Open PUCP,https://www.google.com/maps/search/?api=1&query=Open%20PUCP&query_place_id=ChIJPYWrj67JBZERDOfVb-bBoy8,http://open.pucp.edu.pe/,
