,ID,Latitude,Longitude,Note,No Aprovechables,Papel y Cartón,Plástico,Vidrio,Pilas,Peligrosos,RAEE,Metales,Aniquem,Intermedios Plastico,Intermedios Metal,Foto,Espacios,Lugar,Accion,Tacho Actual,Tacho Nuevo,Recomendaciones,GOOGLE MAPS
1,PT_b1,"-12,067020","-77,078135",blanco negro y plomo(arte nuevo),1,,1,1,,,,,,,,https://drive.google.com/file/d/1ZQwOaO_9azy_0KYVjI-FLZ3de56G9_r2/view?usp=sharing,CAMPUS,Estacionamiento de Arte Nuevo,,,,,Ver en Google Maps
2,PT_b2(4),"-12,067017","-77,079619",plomo blanco azul y negro( gente poli),1,1,1,1,,,,,,,,https://drive.google.com/file/d/1LCoCWyQ_UIkQ2T-f0X5YVjyofcyiZoRr/view?usp=sharing,CAMPUS,Explanada del Polideportivo,Retirar,Vidrio,,retirar tacho de vidrio,Ver en Google Maps
3,PT_b3(4),"-12,066357","-77,079687",null,1,1,1,1,1,,,,,,,https://drive.google.com/file/d/1Rkrp9QOF3Gv7Nia5FvOwlrP6NIyNs7TM/view?usp=sharing,CAMPUS,Explanada del Polideportivo,,,,,Ver en Google Maps
4,PT_b4,"-12,066215","-77,079965",null,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1Xjiocm3OkHq3WLmk8lWWT6ZDcnxV7NyX/view?usp=sharing,CAMPUS,Polideportivo,,,,,Ver en Google Maps
5,PT_b5,"-12,067094","-77,080461",null,1,1,1,1,,,,,,,,https://drive.google.com/file/d/14HOk7CCsXyE7edoE3DrXSvxNAw0JJlxy/view?usp=sharing,CAMPUS,Polideportivo (frente a Letras),,,,,Ver en Google Maps
6,PT_b6,"-12,066577","-77,080423",null,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1cbtZ0rcdVuLpZx-JSQcfjpwaHOooG-Mj/view?usp=sharing,CAMPUS,Polideportivo - puerta oeste,,,,,Ver en Google Maps
7,PT_b7,"-12,065843","-77,080399",blanco cancha de basket,,,1,,,,,,,,,https://drive.google.com/file/d/1GTKEGvgB7xLSWhK99h-HqYt2lC2AuMmY/view?usp=sharing,CAMPUS,Losas deportivas,,,,,Ver en Google Maps
8,PT_b8(1),"-12,065894","-77,080476",plomo frontÃ³n afuera,,,,1,,,,,,,,https://drive.google.com/file/d/1PKEV45Dmcdb2Cx5ItPnZ0m3_T9r_FUDr/view?usp=sharing,CAMPUS,Afuera de la cancha de frontón,,,,,Ver en Google Maps
9,PT_b9(2),"-12,065762","-77,080509",plomo y blanco dentro del fronton,,,1,1,,,,,,,,https://drive.google.com/file/d/1MmPqOAZrW5W8_i2hMYgcJ9C1xwvMCRuL/view?usp=sharing,CAMPUS,Dentro de la cancha de frontón,,,,,Ver en Google Maps
10,PT_b10(1),"-12,065559","-77,080529",negro sin tapa,1,,,,,,,,,,,https://drive.google.com/file/d/1EQt3ZfgSHspnWEo08ard6j9qg26HpqSi/view?usp=sharing,CAMPUS,En la cancha al costado del frontón,,,,,Ver en Google Maps
11,PT_b11(3),"-12,065713","-77,079727",blanco azul y negro,1,,1,1,,,,,,,,https://drive.google.com/file/d/16Z_EXJ0aXARPbDSY6tu6z4QB4r_exunr/view?usp=drive_link,CAMPUS,Cancha de voley - campos deportivos,,,,,Ver en Google Maps
12,PT_b12(1),"-12,065932","-77,079478",blanco ( almacÃ©n de deportes),,,1,,,,,,,,,https://drive.google.com/file/d/1gigdache3c46w-2bvwHgYuuweasSnNwR/view?usp=sharing,CAMPUS,Cancha 2 - campos deportivos,,,,,Ver en Google Maps
13,PT_b12(4),"-12,065607","-77,079392",frente a la cancha 1,,1,1,,,,,,,,,https://drive.google.com/file/d/153ZmxWm5sHeGjZ11MilD0Cifhprh-Pff/view?usp=drive_link,CAMPUS,Cancha 1 - campos deportivos,,,,,Ver en Google Maps
14,PT_b13(1),"-12,065822","-77,078884",negro(al costa de la cancha 1),1,,,,,,,,,,,https://drive.google.com/file/d/12FzQI4K20mFTdwr3TiPvcAs_aqBvlxj7/view?usp=sharing,CAMPUS,Al costado de la cancha 1,,,,,Ver en Google Maps
15,PT_b14(4),"-12,065390","-77,078648",fares,1,1,1,1,,,,,1,,,https://drive.google.com/file/d/1rTa5a7I29bUw5RFLF-lheYrY4_9ytRtN/view?usp=drive_link,CAMPUS,FARES,Cambiar Tapa,Generales,,Tacho negro sin tapa ,Ver en Google Maps
16,PT_b15(2,"-12,065374","-77,078646",blanco y negro,1,1,1,,,,,,,,,https://drive.google.com/file/d/1RCh-NBOkCFXDrjprM7R1ogDIPZj3z4Dr/view?usp=drive_link,CAMPUS,FARES,,,,,Ver en Google Maps
17,PT_b16(3),"-12,065009","-77,078574",blanco negro y plomo,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1jfP3dF15ReXgvgOEFo3ykvIFfh_-TOjT/view?usp=drive_link,CAMPUS,FARES,,,,,Ver en Google Maps
18,PT_b17(3),"-12,066609","-77,078114",null,1,,1,1,1,,,,,,,https://drive.google.com/file/d/1mW6yFIpngp4uH0mFAreIo3by5--En7-p/view?usp=sharing,CAMPUS,Estacionamiento de Arte Nuevo,,,,,Ver en Google Maps
19,PT_b18,"-12,066925","-77,078662",null,1,,,,,,,,,,,https://drive.google.com/file/d/1OP8R0oG_dwWZfGVLZliGliJ5jqTYsLtS/view?usp=sharing,Arte Nuevo,Arte Nuevo,,,,,Ver en Google Maps
20,PT_b19(4),"-12,066712","-77,078804",null,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1m1PR-MPHLwl57_rkhIt_BtrqPcLJRcMP/view?usp=sharing,CAMPUS,Arte Nuevo,,,,,Ver en Google Maps
21,PT_b20(4),"-12,066696","-77,079085",null,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1xE8xr1XsBuqnYoVVV4Q4sthfUfN15N-R/view?usp=sharing,CAMPUS,Arte Nuevo,,,,,Ver en Google Maps
22,PT_b21(1),"-12,066740","-77,079274",negro,1,,,,,,,,,,,https://drive.google.com/file/d/1LL-HAXH06VaCWCG9VZYB5osU-rpOha41/view?usp=sharing,CAMPUS,Arte Nuevo,,,,,Ver en Google Maps
23,PT_b22(1),"-12,066717","-77,079471",null,1,,,,,,,,,,,https://drive.google.com/file/d/16lkkVvUY2kmMB5D9tR0V5Mvj21O40ETj/view?usp=sharing,CAMPUS,Arte Nuevo,,,,,Ver en Google Maps
24,PT_b23(4),"-12,066928","-77,079315",null,1,1,1,1,1,,,,,,,https://drive.google.com/file/d/1IjoRPw_EQIhiJ8KVmhmSbxb7DFb9KwXQ/view?usp=sharing,CAMPUS,Arte Nuevo,Cambiar Tapa,Generales,,Cambiar tapa de vidrio y no aprovechables,Ver en Google Maps
25,PT_b24(3),"-12,066269","-77,079397",null,1,,1,,,,,,,,,https://drive.google.com/file/d/1TIpwR_8HscWJ3-Bs5uY3ycuTo5NkcfYj/view?usp=sharing,CAMPUS,Quiosco de Arte Antiguo,,,,,Ver en Google Maps
26,PT_b25,"-12,065585","-77,081565",null,1,1,1,1,1,,,,,,,https://drive.google.com/file/d/192UTsSown6l3kuNw0Jq_69nMQNZ_wPQj/view?usp=sharing,CAMPUS,INRAS,,,,,Ver en Google Maps
27,PT_b26,"-12,065746","-77,081697",null,1,,1,1,,,,,,,,https://drive.google.com/file/d/1QJdoV-VhGGlB-oLwPC62WkCtCFVoPWpB/view?usp=sharing,CAMPUS,INRAS,,,,,Ver en Google Maps
28,PT_b27(4),"-12,066518","-77,080712",null,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1yq3rPQ1xDYDEdlRRyzrNVPPM3H6P2Ece/view?usp=sharing,CAMPUS,Estacionamiento Espacios culturales - atrás de polideportivo,,,,,Ver en Google Maps
29,PT_b28(3),"-12,067210","-77,080969",null,1,,1,1,,,,,,,,https://drive.google.com/file/d/1WCrG1IDHbXnsepCl4_cVY7AVL5AsyQ-R/view?usp=sharing,CAMPUS,Kiosco de Letras,,,,,Ver en Google Maps
30,PT_b29,"-12,067194","-77,081560",null,,,,,,,1,1,,,,https://drive.google.com/file/d/1iTx60G3s9cGFqGq_wUuJSQHi1z7dWcfD/view?usp=sharing,CAMPUS,Aulas móviles B,,,,,Ver en Google Maps
31,PT_b30(4),"-12,067317","-77,081564",null,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1I954p3Lw8fMWZi02lBFwnWRJvdxzPP9M/view?usp=sharing,CAMPUS,Dentro de aulas móviles B,,,,,Ver en Google Maps
32,PT_I1(3),"-12,068365","-77,081613",null,,,,,,,,,,3,,https://drive.google.com/file/d/1Cm145sP8bNShrOrbzDQrsFyQKe0s5TDh/view?usp=sharing,CAMPUS,"Estacionamiento L, fentre a Studio Tv",,,,,Ver en Google Maps
33,PT_b31(5),"-12,069535","-77,081757",null,1,1,1,1,1,,,,,,,https://drive.google.com/file/d/1Tn2Jm31bZrqRrlLzUwYPj-MOcEv9TF5F/view?usp=sharing,CAMPUS,Estudios letras y ciencias,,,,,Ver en Google Maps
34,PT_b32(2),"-12,069990","-77,081370",,1,,1,1,,,,,,,,https://drive.google.com/file/d/1qGvC6XEdOY_98WQeyC3G8PgS3ny9Og5t/view?usp=drive_link,,Auditorio de Derecho,Retirar,Vidrio,,Retirar tacho de vidrio,Ver en Google Maps
35,PT_b32(3),"-12,069522","-77,081451",null,1,,1,1,,,,,,,,https://drive.google.com/file/d/1tPp83ZJC4i2bJf9Ab0SF4K67O7gwo1g4/view?usp=sharing,CAMPUS,Pabellón H,,,,,Ver en Google Maps
36,PT_b33(5),"-12,069329","-77,081216",null,1,1,1,1,1,,,,,,,https://drive.google.com/file/d/1tX8bdVTsbPZe0ZtFZNr9-lhXvLUUQFRy/view?usp=sharing,CAMPUS,Pabellón H,,,,,Ver en Google Maps
37,PT_b34(4),"-12,069266","-77,080733",null,1,1,1,1,,,,,,,,https://drive.google.com/file/d/1P6oJjxvielLgPpBYf07OpoVK704jZOqV/view?usp=sharing,CAMPUS,Facultad de ciencias de la comunicacion,,,,,Ver en Google Maps
38,PT_b35(4),"-12,069121","-77,081367",null,1,,1,1,,,,,1,,,https://drive.google.com/file/d/1gk9gZNc5RvEyT94Jk-Gkx-VmKaSlB6rR/view?usp=sharing,CAMPUS,Puerta 7 - Rivaguero,,,,,Ver en Google Maps
39,PT_b36(4),"-12,068713","-77,081231",null,1,1,,1,1,,,,,,,https://drive.google.com/file/d/1z-3trZfXsUEPmE9tzbklYLq_EwwT3ri0/view?usp=sharing,CAMPUS,Facultad de artes escénicas (antiguo) - cerca de estudio TV,,,,,Ver en Google Maps
40,PT_b37(4),"-12,068911","-77,080869",null,1,,1,2,,,,,,,,https://drive.google.com/file/d/1weuNNGVQw6Y_qAFQU_VbFGiKvEt1ExPZ/view?usp=sharing,CAMPUS,Pabellón Z,,,,,Ver en Google Maps
